scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-13.5_lon131.0_20230902_T52LGL_t029,33.681618,0.904374,1.614269,1.024983,0.020698,0.835494,0.955032
lat-13.5_lon131.0_20230902_T52LGL_t068,34.213354,0.934361,1.061358,0.690505,0.019468,0.898457,0.957147
lat-13.5_lon131.0_20230902_T52LGL_t106,31.258604,0.898896,1.140109,1.050357,0.027357,0.846379,0.911187
lat-13.5_lon131.0_20230902_T52LGL_t175,34.364550,0.923907,1.050881,0.712902,0.019133,0.877846,0.955090
lat-13.5_lon131.0_20230902_T52LGL_t188,33.116235,0.914707,0.977953,0.802458,0.022090,0.869472,0.928143
lat-13.5_lon131.0_20230902_T52LGL_t202,30.582510,0.817033,0.998112,1.142099,0.029572,0.727972,0.855554
lat-15.0_lon26.0_20240502_T35LLD_t046,37.466245,0.939173,0.807905,0.577885,0.013387,0.848122,0.939167
lat-15.0_lon26.0_20240502_T35LLD_t094,38.902406,0.941485,0.743946,0.529039,0.011347,0.824439,0.951484
lat-15.0_lon26.0_20240502_T35LLD_t128,33.689629,0.849536,1.042342,0.911026,0.020678,0.702164,0.858184
lat-15.0_lon26.0_20240502_T35LLD_t154,35.015239,0.881133,0.855345,0.753967,0.017752,0.716489,0.885802
lat-15.0_lon26.0_20240502_T35LLD_t166,35.577296,0.893978,0.843790,0.705955,0.016639,0.786094,0.897175
lat-15.0_lon26.0_20240502_T35LLD_t177,37.851928,0.932939,0.816930,0.624548,0.012806,0.816058,0.941705
lat-15.0_lon26.0_20240502_T35LLD_t192,31.083404,0.801869,1.186306,1.079242,0.027914,0.627944,0.849379
lat-21.0_lon14.5_20250124_T33KVS_t060,30.110652,0.851836,1.155600,1.330708,0.031222,0.766293,0.895828
lat-21.0_lon14.5_20250124_T33KVS_t103,32.135352,0.902016,1.012526,0.987623,0.024730,0.851135,0.974145
lat-21.0_lon14.5_20250124_T33KVS_t110,35.573496,0.882575,0.675340,0.960415,0.016647,0.759838,0.897346
lat-21.0_lon14.5_20250124_T33KVS_t121,32.720888,0.811446,0.746548,1.076117,0.023118,0.626920,0.922106
lat-21.0_lon14.5_20250124_T33KVS_t137,30.259374,0.826611,0.653746,1.093526,0.030692,0.754810,0.935829
lat-22.5_lon-68.5_20251030_T19KER_t066,34.438096,0.927735,0.808224,0.796807,0.018971,0.780534,0.963787
lat-22.5_lon-68.5_20251030_T19KER_t077,33.656248,0.888986,0.821486,0.723075,0.020758,0.807833,0.962376
lat-22.5_lon-68.5_20251030_T19KER_t090,25.826158,0.775061,0.959315,2.183916,0.051132,0.538835,0.680891
lat-22.5_lon-68.5_20251030_T19KER_t163,32.743176,0.897311,1.036568,0.705270,0.023059,0.816371,0.983861
lat-23.0_lon119.5_20240128_T50KQV_t086,36.743793,0.925236,0.538671,0.488927,0.014548,0.784801,0.938566
lat-23.0_lon23.5_20240902_T34KGV_t060,40.006896,0.954241,0.349095,0.294672,0.009992,0.869391,0.968683
lat-23.0_lon23.5_20240902_T34KGV_t178,38.026860,0.940160,0.388232,0.373557,0.012550,0.869682,0.971536
lat-23.0_lon23.5_20240902_T34KGV_t259,38.273664,0.935603,0.472391,0.382729,0.012199,0.843087,0.981501
lat-23.0_lon23.5_20240902_T34KGV_t262,38.738397,0.956506,0.531271,0.404730,0.011563,0.901693,0.966102
lat-23.5_lon-68.2_20251231_T19KEP_t043,25.294041,0.670611,0.877352,1.491403,0.054362,0.580217,0.913866
lat-24.0_lon-69.5_20251124_T19KDP_t023,37.214062,0.936554,0.445339,0.391424,0.013782,0.848841,0.968854
lat-24.0_lon-69.5_20251124_T19KDP_t029,35.033863,0.914963,0.342281,0.640017,0.017714,0.781378,0.959284
lat-24.0_lon-69.5_20251124_T19KDP_t040,30.123843,0.698743,0.522501,0.807814,0.031175,0.505564,0.823617
lat-24.0_lon-69.5_20251124_T19KDP_t123,29.093798,0.689242,0.471127,1.136614,0.035100,0.468624,0.824070
lat-24.0_lon-69.5_20251124_T19KDP_t231,29.186337,0.769476,0.614742,1.283936,0.034728,0.631470,0.866963
lat-24.0_lon-69.5_20251124_T19KDP_t247,30.336093,0.778219,0.815611,1.006871,0.030423,0.637487,0.903120
lat-24.5_lon-70.5_20240902_T19JCN_t088,33.419935,0.881513,0.718904,0.835938,0.021331,0.801956,0.942373
lat-25.0_lon149.0_20240925_T55JFN_t019,34.942722,0.933744,0.777662,0.595592,0.017900,0.876772,0.966255
lat-25.0_lon149.0_20240925_T55JFN_t028,37.871029,0.951540,0.751912,0.524276,0.012778,0.861244,0.971381
lat-25.0_lon149.0_20240925_T55JFN_t095,34.211371,0.923863,0.946957,0.772847,0.019473,0.828876,0.933691
lat-25.0_lon29.5_20250924_T35JQN_t185,26.429090,0.685549,2.818101,2.039501,0.047703,0.523316,0.846673
lat-26.0_lon134.0_20231105_T53JLM_t025,33.881685,0.840827,0.337831,0.583793,0.020226,0.635514,0.810750
lat-26.0_lon134.0_20231105_T53JLM_t070,35.451271,0.925425,0.439794,0.604794,0.016882,0.829545,0.939538
lat-27.0_lon27.5_20240703_T35JNL_t059,31.538292,0.866556,0.887481,1.120729,0.026490,0.789945,0.964345
lat-29.5_lon142.0_20250123_T54JWN_t010,34.748223,0.904797,0.489066,0.564459,0.018306,0.830584,0.936578
lat-29.5_lon142.0_20250123_T54JWN_t015,33.414800,0.900825,0.476140,0.655813,0.021343,0.853487,0.951107
lat-29.5_lon142.0_20250123_T54JWN_t052,34.615931,0.864766,0.412871,0.534190,0.018587,0.747681,0.910206
lat-29.5_lon142.0_20250123_T54JWN_t064,33.281460,0.840857,0.421851,0.667573,0.021673,0.732886,0.889839
lat-29.5_lon28.5_20250902_T35JPH_t199,29.667704,0.769772,1.362736,1.880696,0.032856,0.626593,0.804071
lat-29.5_lon28.5_20250902_T35JPH_t223,26.823539,0.597562,2.755847,4.011289,0.045585,0.398033,0.734268
lat-29.5_lon28.5_20250902_T35JPH_t273,31.850251,0.846905,1.896655,2.188394,0.025556,0.732824,0.907089
lat-29.5_lon29.0_20250902_T35JPH_t106,26.232670,0.755913,1.256972,1.994644,0.048794,0.709217,0.853706
lat-29.5_lon29.0_20250902_T35JPH_t284,29.284213,0.798178,1.995466,2.313020,0.034339,0.672083,0.920821
lat-29.5_lon29.5_20240526_T35JQH_t110,31.030470,0.818716,2.581161,2.389202,0.028085,0.684875,0.906854
lat-29.5_lon29.5_20240526_T35JQH_t153,32.807825,0.865977,2.798669,2.204371,0.022888,0.685114,0.917422
lat-29.5_lon29.5_20240526_T35JQH_t154,32.269480,0.835309,2.201061,2.301242,0.024352,0.657905,0.848538
lat-30.0_lon115.5_20260102_T50JLM_t062,32.755154,0.919685,1.114378,0.966234,0.023027,0.881705,0.955729
lat-30.0_lon115.5_20260102_T50JLM_t097,32.566869,0.921038,1.207373,1.105279,0.023532,0.886557,0.972194
lat-30.0_lon115.5_20260102_T50JLM_t118,29.747465,0.847434,1.223283,1.488184,0.032556,0.758974,0.954502
lat-30.0_lon115.5_20260102_T50JLM_t137,29.205396,0.859625,1.515826,1.661600,0.034652,0.807156,0.944195
lat-30.0_lon115.5_20260102_T50JLM_t202,33.079916,0.908134,1.032514,1.091039,0.022182,0.836057,0.963780
lat-30.0_lon115.5_20260102_T50JLM_t207,35.904355,0.933761,0.769721,0.799232,0.016024,0.820777,0.974570
lat-31.5_lon117.5_20260303_T50JNL_t043,34.499740,0.896361,0.838172,0.670889,0.018837,0.806020,0.929049
lat-31.5_lon117.5_20260303_T50JNL_t123,36.689734,0.944466,0.779270,0.619642,0.014639,0.889959,0.967758
lat-31.5_lon117.5_20260303_T50JNL_t165,35.775917,0.929911,0.631805,0.608288,0.016263,0.869164,0.971545
lat-32.0_lon-59.5_20240325_T21HTE_t128,28.384816,0.789924,2.727554,3.718338,0.038085,0.645124,0.845619
lat-32.0_lon-59.5_20240325_T21HTE_t145,33.950347,0.933289,1.429561,1.329078,0.020067,0.852743,0.960324
lat-32.0_lon-59.5_20240325_T21HTE_t160,33.620730,0.934282,1.714426,1.347978,0.020843,0.876005,0.968003
lat-32.0_lon-59.5_20240325_T21HTE_t194,28.148558,0.832319,2.837761,2.337678,0.039136,0.762497,0.893776
lat-32.0_lon-59.5_20240325_T21HTE_t231,28.764889,0.825479,2.866687,2.662040,0.036455,0.709950,0.891234
lat-32.0_lon-59.5_20240325_T21HTE_t256,31.687654,0.899840,2.095606,1.942012,0.026039,0.832208,0.938951
lat-33.5_lon19.5_20250123_T34HCJ_t027,32.266989,0.897714,0.675218,0.847314,0.024359,0.837998,0.949999
lat-33.5_lon19.5_20250123_T34HCJ_t115,33.237488,0.910318,0.497552,0.878803,0.021783,0.855126,0.975053
lat-33.5_lon19.5_20250123_T34HCJ_t148,29.613732,0.802602,0.932315,1.283064,0.033061,0.692234,0.949714
lat-33.5_lon19.5_20250123_T34HCJ_t199,33.570705,0.913198,0.564654,0.659776,0.020964,0.874727,0.954962
lat-33.5_lon19.5_20250123_T34HCJ_t201,31.771008,0.892581,0.714787,1.146306,0.025790,0.811428,0.957438
lat-33.5_lon19.5_20250123_T34HCJ_t210,31.119065,0.872913,2.381873,1.565714,0.027800,0.803538,0.938676
lat-33.5_lon19.5_20250123_T34HCJ_t214,21.795594,0.463419,1.370073,3.383157,0.081324,0.363726,0.680313
lat-37.0_lon149.0_20250104_T55HFU_t127,29.216605,0.825750,1.768475,2.438702,0.034607,0.709337,0.935467
lat-40.0_lon-72.0_20260305_T18GYA_t173,30.297597,0.749467,6.750588,6.485901,0.030558,0.531482,0.852077
lat-40.0_lon-72.0_20260305_T18GYA_t222,28.731855,0.770745,1.387060,4.273456,0.036594,0.483863,0.790991
lat-40.0_lon-72.0_20260305_T18GYA_t239,33.003584,0.836048,1.347922,2.954382,0.022378,0.435312,0.843638
lat-40.0_lon-72.0_20260305_T18GYA_t297,32.106786,0.792305,3.845661,4.817958,0.024812,0.512954,0.829695
lat-47.0_lon-69.0_20260106_T19GDJ_t089,42.239097,0.961629,0.321359,0.219835,0.007728,0.703320,0.907642
lat-47.0_lon-69.0_20260106_T19GDJ_t132,39.403966,0.932761,0.350197,0.286968,0.010710,0.703358,0.929487
lat-47.0_lon-69.0_20260106_T19GDJ_t214,24.724143,0.569796,0.945935,2.575312,0.058049,0.479147,0.725741
lat-47.0_lon-69.0_20260106_T19GDJ_t231,28.398409,0.709564,0.938566,1.643280,0.038026,0.540414,0.844397
lat-5.5_lon-37.5_20240629_T24MXV_t137,35.290756,0.943555,1.765392,1.093404,0.017197,0.893498,0.961714
lat-5.5_lon-37.5_20240629_T24MXV_t150,34.362401,0.946671,1.642711,1.966173,0.019137,0.857306,0.952653
lat-5.5_lon-37.5_20240629_T24MXV_t181,37.895922,0.958155,1.503266,1.489789,0.012741,0.849989,0.952670
lat-5.5_lon-37.5_20240629_T24MXV_t211,35.063723,0.916382,1.898757,1.764733,0.017653,0.679510,0.958756
lat-5.5_lon-37.5_20240629_T24MXV_t212,36.579656,0.953082,1.446178,1.806943,0.014826,0.816820,0.959135
lat-5.5_lon-37.5_20240629_T24MXV_t218,37.530645,0.951542,1.053755,1.271052,0.013288,0.842289,0.958245
lat-5.5_lon-37.5_20240629_T24MXV_t226,32.394981,0.918735,1.992743,2.534240,0.024002,0.748124,0.929123
lat-5.5_lon-37.5_20240629_T24MXV_t295,36.164906,0.945942,1.219867,1.251387,0.015551,0.844543,0.963497
lat-50.0_lon-71.0_20240120_T19FCE_t105,31.515082,0.817467,0.684662,1.026367,0.026561,0.630073,0.829417
lat-50.0_lon-71.0_20240120_T19FCE_t251,32.498762,0.798606,0.594243,0.817920,0.023717,0.585785,0.856220
lat13.0_lon14.0_20231029_T33PUQ_t033,24.840842,0.762524,2.809846,2.545349,0.057274,0.722511,0.913749
lat13.0_lon14.0_20231029_T33PUQ_t052,31.368670,0.922117,2.221708,1.450606,0.027013,0.879752,0.976084
lat13.0_lon14.0_20231029_T33PUQ_t053,29.956895,0.919995,2.691746,1.714451,0.031780,0.891950,0.973465
lat13.0_lon14.0_20231029_T33PUQ_t054,30.158553,0.913626,2.010238,1.638990,0.031051,0.878123,0.957228
lat13.0_lon14.0_20231029_T33PUQ_t058,31.690394,0.915492,1.530201,1.048171,0.026030,0.850501,0.949562
lat13.0_lon14.0_20231029_T33PUQ_t066,31.831611,0.940503,1.834373,1.420274,0.025611,0.901201,0.958058
lat13.0_lon14.0_20231029_T33PUQ_t070,33.727996,0.930061,1.384549,0.920301,0.020587,0.849250,0.937166
lat13.0_lon14.0_20231029_T33PUQ_t086,33.089869,0.909461,1.160660,0.890218,0.022157,0.859493,0.969852
lat13.0_lon14.0_20231029_T33PUQ_t089,33.643659,0.941513,1.375339,1.192389,0.020788,0.878665,0.957811
lat13.0_lon14.0_20231029_T33PUQ_t091,31.059091,0.926692,2.182815,1.347573,0.027993,0.881820,0.952901
lat13.0_lon14.0_20231029_T33PUQ_t114,37.567358,0.950173,2.020000,1.506834,0.013232,0.870692,0.956782
lat13.0_lon14.0_20231029_T33PUQ_t126,35.324652,0.926718,2.941745,1.991893,0.017130,0.850806,0.948317
lat13.5_lon40.7_20250330_T37PFQ_t029,35.838294,0.919143,0.785019,0.949500,0.016147,0.733373,0.945122
lat13.5_lon40.7_20250330_T37PFQ_t033,31.793135,0.799914,0.815005,0.820743,0.025724,0.660465,0.873349
lat13.5_lon40.7_20250330_T37PFQ_t072,30.969260,0.779904,0.527188,0.785501,0.028284,0.668172,0.877360
lat13.5_lon40.7_20250330_T37PFQ_t102,31.910421,0.815177,0.883191,1.056020,0.025379,0.698070,0.882154
lat13.5_lon40.7_20250330_T37PFQ_t103,33.994686,0.862710,0.733687,0.762693,0.019965,0.728632,0.904884
lat13.5_lon40.7_20250330_T37PFQ_t132,31.667668,0.900314,1.058637,1.043272,0.026099,0.842846,0.971620
lat13.5_lon40.7_20250330_T37PFQ_t134,31.978175,0.838182,0.724825,0.847110,0.025182,0.750931,0.936749
lat13.5_lon40.7_20250330_T37PFQ_t135,29.850737,0.759497,0.869082,1.463394,0.032171,0.635607,0.854509
lat13.5_lon40.7_20250330_T37PFQ_t212,37.016327,0.942678,0.496729,0.471555,0.014099,0.881602,0.974093
lat14.5_lon33.5_20251024_T36PWB_t069,33.157143,0.900881,2.098867,1.091996,0.021986,0.843281,0.908448
lat14.5_lon33.5_20251024_T36PWB_t085,28.850774,0.775613,2.370526,1.637510,0.036096,0.666310,0.775855
lat14.5_lon33.5_20251024_T36PWB_t097,30.655316,0.864530,2.742534,1.461596,0.029325,0.812280,0.921889
lat17.0_lon95.5_20251224_T46QGD_t163,30.057366,0.871263,3.384797,1.774165,0.031415,0.805111,0.945152
lat17.0_lon95.5_20251224_T46QGD_t200,30.261502,0.870508,3.966578,2.443874,0.030685,0.799166,0.940137
lat17.0_lon95.5_20251224_T46QGD_t278,25.332077,0.755138,5.377030,4.679823,0.054125,0.627767,0.754645
lat18.0_lon33.0_20231202_T36QWF_t104,37.807754,0.936376,0.373625,0.363911,0.012871,0.833026,0.966686
lat18.0_lon33.0_20231202_T36QWF_t106,36.055662,0.922657,0.421710,0.418671,0.015748,0.816819,0.966543
lat19.4_lon-99.1_20260221_T14QMG_t039,35.817516,0.912937,1.430392,1.204012,0.016185,0.823155,0.904161
lat19.4_lon-99.1_20260221_T14QMG_t045,39.681041,0.948496,1.695290,1.705861,0.010374,0.845745,0.898484
lat19.4_lon-99.1_20260221_T14QMG_t071,28.933379,0.680401,2.025149,2.951790,0.035755,0.491153,0.720615
lat21.0_lon17.5_20231203_T33QYD_t072,33.626007,0.915295,1.014375,0.875035,0.020830,0.841598,0.976018
lat21.0_lon17.5_20231203_T33QYD_t169,20.031820,0.404832,1.915375,4.560011,0.099634,0.341222,0.633782
lat22.5_lon78.0_20250129_T43QHE_t056,34.052180,0.888755,1.406911,1.369571,0.019833,0.761742,0.924974
lat22.5_lon78.0_20250129_T43QHE_t057,36.178750,0.874962,1.635210,1.916463,0.015526,0.631948,0.833846
lat22.5_lon78.0_20250129_T43QHE_t082,29.437726,0.772618,1.933324,1.926305,0.033738,0.660015,0.833576
lat22.5_lon78.0_20250129_T43QHE_t118,31.103835,0.889037,2.610349,1.692129,0.027849,0.828501,0.909228
lat23.0_lon88.0_20231227_T45QXF_t036,29.337695,0.798843,4.629209,2.816403,0.034128,0.700816,0.898972
lat23.0_lon88.0_20231227_T45QXF_t046,31.444743,0.867989,3.610844,2.253593,0.026777,0.780357,0.927534
lat23.0_lon88.0_20231227_T45QXF_t068,31.245034,0.859103,3.446138,2.311311,0.027400,0.770669,0.923379
lat23.0_lon88.0_20231227_T45QXF_t075,32.394865,0.902382,2.072582,1.288156,0.024003,0.828035,0.897782
lat23.0_lon88.0_20231227_T45QXF_t101,35.082636,0.914911,2.345192,1.267813,0.017614,0.826205,0.921995
lat23.0_lon88.0_20231227_T45QXF_t110,31.295080,0.839180,2.569143,1.598683,0.027242,0.739349,0.875621
lat23.5_lon58.5_20231226_T40QFL_t021,27.805751,0.631633,2.887283,4.019119,0.040711,0.490387,0.696358
lat23.5_lon58.5_20231226_T40QFL_t129,27.168435,0.706501,1.903588,2.877060,0.043811,0.618920,0.829136
lat23.5_lon58.5_20231226_T40QFL_t173,31.248770,0.809790,1.208987,1.648383,0.027388,0.705041,0.841387
lat23.5_lon58.5_20231226_T40QFL_t182,29.494267,0.798926,1.971150,2.344545,0.033519,0.720427,0.868868
lat23.5_lon69.5_20231003_T42QWL_t009,34.289310,0.935274,1.431357,0.829223,0.019299,0.902566,0.943902
lat23.5_lon69.5_20231003_T42QWL_t019,33.706193,0.931349,1.517698,1.032526,0.020639,0.903893,0.954107
lat26.0_lon-99.5_20230627_T14RMP_t013,33.891401,0.847992,0.915415,1.076428,0.020204,0.668777,0.835134
lat26.0_lon-99.5_20230627_T14RMP_t028,39.508499,0.958343,1.400488,1.194573,0.010582,0.915301,0.960593
lat26.5_lon71.0_20250131_T42RYQ_t013,34.704241,0.906633,0.773291,0.526168,0.018399,0.771621,0.881706
lat26.5_lon71.0_20250131_T42RYQ_t025,35.431480,0.910210,1.348618,0.909166,0.016921,0.769150,0.849507
lat26.5_lon71.0_20250131_T42RYQ_t050,31.078085,0.861383,2.721608,1.519179,0.027932,0.764770,0.909155
lat26.5_lon71.0_20250131_T42RYQ_t056,32.146618,0.849024,1.227710,0.828666,0.024698,0.732627,0.863351
lat26.5_lon71.0_20250131_T42RYQ_t059,33.351790,0.919346,1.524517,0.797698,0.021499,0.849963,0.931394
lat26.5_lon71.0_20250131_T42RYQ_t067,31.503834,0.846465,1.115250,0.806203,0.026596,0.732459,0.872689
lat26.5_lon71.0_20250131_T42RYQ_t089,31.825267,0.863659,1.093910,0.829703,0.025629,0.771832,0.892054
lat26.5_lon71.0_20250131_T42RYQ_t100,34.254387,0.902960,0.744106,0.578439,0.019377,0.819302,0.893849
lat26.5_lon71.0_20250131_T42RYQ_t135,35.164710,0.902895,0.995953,0.707229,0.017449,0.793030,0.879972
lat26.5_lon71.0_20250131_T42RYQ_t158,30.495610,0.857449,1.277323,0.934034,0.029869,0.787918,0.859180
lat26.5_lon71.0_20250131_T42RYQ_t178,35.656597,0.907480,0.742956,0.534134,0.016488,0.801392,0.879446
lat27.0_lon13.5_20241001_T33RUL_t077,32.072500,0.839394,0.419091,0.668908,0.024910,0.699990,0.888445
lat27.0_lon13.5_20241001_T33RUL_t199,39.834689,0.950303,0.346741,0.323058,0.010192,0.759096,0.983297
lat27.5_lon112.0_20241201_T49RFL_t084,29.462097,0.668713,3.478230,5.568011,0.033643,0.390826,0.545465
lat28.6_lon77.2_20250531_T43RGM_t159,32.010068,0.814579,2.341749,1.908245,0.025090,0.620239,0.776267
lat29.5_lon34.0_20250731_T36RXT_t063,30.478829,0.892066,0.952385,0.992906,0.029927,0.875617,0.958992
lat29.5_lon34.0_20250731_T36RXT_t121,30.775462,0.773073,0.592729,0.848598,0.028922,0.675233,0.805948
lat29.5_lon34.0_20250731_T36RXT_t125,31.191308,0.827376,0.765232,0.818279,0.027570,0.772488,0.870915
lat29.5_lon34.0_20250731_T36RXT_t139,29.244572,0.777531,0.949654,1.101326,0.034496,0.717589,0.869608
lat29.5_lon34.0_20250731_T36RXT_t210,26.745980,0.660840,0.852020,1.449577,0.045994,0.573120,0.701756
lat30.05_lon2.88_20231203_T31RDP_t085,38.573599,0.924319,0.406012,0.447464,0.011785,0.574798,0.861537
lat30.05_lon2.88_20231203_T31RDP_t086,35.081121,0.871424,0.438107,0.634205,0.017617,0.598841,0.814761
lat30.05_lon2.88_20231203_T31RDP_t127,35.443903,0.844691,0.347254,0.454929,0.016897,0.555379,0.816175
lat30.05_lon2.88_20231203_T31RDP_t174,41.689738,0.949454,0.313740,0.225879,0.008232,0.701979,0.938332
lat30.05_lon2.88_20231203_T31RDP_t186,32.440424,0.833190,0.662373,0.614318,0.023877,0.600327,0.830489
lat30.05_lon2.88_20231203_T31RDP_t221,36.277393,0.894384,0.418317,0.490754,0.015351,0.722118,0.883823
lat30.05_lon31.25_20230626_T36RUU_t078,32.892921,0.883795,2.636825,1.923249,0.022665,0.798546,0.933817
lat30.05_lon31.25_20230626_T36RUU_t081,31.333213,0.853016,2.922505,2.321421,0.027123,0.781490,0.906620
lat30.05_lon31.25_20230626_T36RUU_t094,32.652672,0.896233,2.663066,1.729228,0.023301,0.843351,0.953845
lat30.05_lon31.25_20230626_T36RUU_t101,30.920324,0.868480,2.831507,2.023410,0.028444,0.821622,0.948886
lat30.05_lon31.25_20230626_T36RUU_t113,32.355747,0.874361,2.174460,1.835001,0.024111,0.813470,0.941980
lat30.05_lon31.25_20230626_T36RUU_t151,31.487556,0.865290,3.059496,1.815322,0.026645,0.806037,0.939789
lat30.05_lon31.25_20230626_T36RUU_t207,35.945921,0.912382,0.572333,0.540966,0.015948,0.787575,0.920125
lat30.05_lon31.25_20230626_T36RUU_t209,31.901084,0.863903,1.593577,1.024654,0.025407,0.804750,0.913403
lat30.05_lon31.25_20230626_T36RUU_t239,32.917979,0.892654,1.620487,1.244735,0.022600,0.824954,0.948682
lat30.05_lon31.25_20230626_T36RUU_t242,31.973344,0.846539,1.701298,1.116135,0.025196,0.769486,0.873703
lat30.0_lon-9.5_20230804_T29RMP_t024,42.720392,0.967962,0.379151,0.314707,0.007311,0.829065,0.948003
lat30.0_lon-9.5_20230804_T29RMP_t052,35.998477,0.924608,0.955973,0.626353,0.015852,0.831528,0.942826
lat30.0_lon-9.5_20230804_T29RMP_t083,29.961976,0.735216,0.473351,1.000550,0.031762,0.591800,0.856647
lat30.5_lon74.5_20231203_T43RDP_t019,29.511036,0.838589,3.811172,2.274835,0.033454,0.798164,0.918771
lat30.5_lon74.5_20231203_T43RDP_t026,35.773348,0.927849,1.767787,0.935816,0.016268,0.853932,0.907282
lat30.5_lon74.5_20231203_T43RDP_t043,35.624698,0.928267,1.743260,0.976487,0.016549,0.863862,0.925060
lat30.5_lon74.5_20231203_T43RDP_t078,34.499126,0.905141,1.760764,1.135790,0.018838,0.826253,0.895985
lat30.87_lon31.32_20250623_T36RUV_t139,28.771328,0.816646,3.987681,3.332642,0.036428,0.751140,0.857201
lat31.0_lon47.0_20240403_T38RPV_t141,29.697365,0.698353,1.406283,2.990822,0.032744,0.385901,0.890435
lat31.0_lon47.0_20240403_T38RPV_t161,30.146129,0.807217,1.939880,1.629038,0.031095,0.720898,0.918133
lat31.0_lon47.0_20240403_T38RPV_t166,27.362384,0.801733,1.298622,1.508504,0.042843,0.760655,0.907348
lat31.5_lon-100.0_20241001_T14RMV_t024,24.922056,0.745369,2.438086,2.792596,0.056741,0.688352,0.812219
lat31.5_lon-100.0_20241001_T14RMV_t041,36.051360,0.935937,1.048573,0.962767,0.015755,0.895202,0.949268
lat31.5_lon37.0_20240823_T37RCQ_t025,34.847644,0.935992,0.399909,0.471819,0.018097,0.892613,0.971947
lat31.5_lon37.0_20240823_T37RCQ_t062,30.706545,0.853374,0.458093,0.774498,0.029152,0.775499,0.938288
